Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,00:01:10,0.03,0.14,1.43,57.62,60.12,-35.22
2025-02-07,00:01:10,-0.31,0.06,0.79,41.02,-67.14,17.64
2025-02-07,00:01:11,0.02,0.18,1.38,-39.00,31.62,20.08
2025-02-07,00:01:11,0.12,0.09,-0.97,40.16,-82.95,8.48
2025-02-07,00:01:12,-0.83,0.31,3.05,102.97,-9.46,35.71
2025-02-07,00:01:12,-0.06,0.27,1.80,-77.70,90.15,-30.88
2025-02-07,00:01:13,0.54,-0.07,-1.73,28.14,32.90,-8.48
2025-02-07,00:01:13,-1.61,0.58,4.00,36.50,-72.75,-0.85
2025-02-07,00:01:14,0.61,0.32,-0.70,-89.29,65.80,-38.76
2025-02-07,00:01:14,-0.08,0.40,0.41,88.99,-104.86,21.91
2025-02-07,00:01:15,-0.62,0.37,1.96,-14.95,40.47,-1.89
2025-02-07,00:01:15,0.95,-0.96,1.43,30.21,46.14,54.38
2025-02-07,00:01:16,0.03,0.15,0.82,-32.53,3.91,29.72
2025-02-07,00:01:16,0.27,0.38,0.99,30.40,-39.43,-102.54
2025-02-07,00:01:17,-0.49,-0.58,1.45,-18.49,49.62,-72.02
2025-02-07,00:01:17,0.25,0.84,0.73,-123.54,11.41,-75.26
2025-02-07,00:01:18,-0.21,0.05,0.79,88.01,-1.59,161.68
2025-02-07,00:01:18,0.09,-1.23,0.92,-6.59,72.02,-121.70
2025-02-07,00:01:19,0.01,1.20,0.91,-61.40,-17.88,-7.87
2025-02-07,00:01:19,-0.13,-0.01,1.08,-16.17,-25.94,20.26
2025-02-07,00:01:20,0.12,0.03,-0.52,17.88,55.97,2.26
2025-02-07,00:01:20,0.33,-0.00,-0.09,-17.03,101.75,-11.23
2025-02-07,00:01:21,0.12,0.08,0.61,-3.42,107.36,-30.03
2025-02-07,00:01:21,-0.74,0.04,1.06,14.40,26.73,10.93
2025-02-07,00:01:22,-1.21,0.09,0.99,21.97,133.06,58.65
2025-02-07,00:01:22,-0.46,0.23,0.78,-11.90,45.17,59.88
2025-02-07,00:01:23,-0.19,-0.02,1.01,-1.10,6.47,-5.80
2025-02-07,00:01:23,-0.05,0.04,1.05,11.78,1.40,-0.24
2025-02-07,00:01:24,-0.17,0.13,0.94,17.88,19.90,1.04
2025-02-07,00:01:24,0.02,0.09,0.96,-1.10,-8.06,3.78
2025-02-07,00:01:25,0.06,0.05,0.96,-1.22,5.25,-21.30
2025-02-07,00:01:25,0.03,0.02,1.00,0.06,0.24,-0.85
2025-02-07,00:01:26,0.03,0.02,1.00,0.06,0.24,-0.92
2025-02-07,00:01:26,0.02,0.02,1.00,0.06,0.06,-0.79
2025-02-07,00:01:27,0.02,0.02,1.00,0.06,0.06,-0.79
2025-02-07,00:01:27,0.02,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:28,0.01,0.02,1.00,0.12,0.00,-0.85
2025-02-07,00:01:28,0.01,0.02,1.00,0.06,-0.06,-0.79
2025-02-07,00:01:29,0.02,0.01,1.00,0.06,0.06,-0.85
2025-02-07,00:01:29,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:30,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:30,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:31,0.01,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:01:31,0.01,0.02,1.00,0.12,-0.06,-0.73
2025-02-07,00:01:32,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:32,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:33,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:33,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:34,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:34,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:35,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:35,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:36,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:36,0.01,0.02,1.00,0.00,0.92,-1.83
2025-02-07,00:01:37,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:37,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:38,0.02,0.02,1.00,0.06,0.00,-0.85
2025-02-07,00:01:38,0.01,0.01,1.00,0.06,0.12,-0.67
2025-02-07,00:01:39,0.01,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:01:39,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:40,0.01,0.02,1.00,0.12,-0.06,-0.73
2025-02-07,00:01:40,0.01,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:01:41,0.01,0.02,1.00,0.12,0.00,-0.73
2025-02-07,00:01:41,0.01,0.02,1.00,0.12,0.00,-0.73
